facility,facility_key,overlay_status,best_candidate_site,best_candidate_score,best_candidate_class,candidate_rows_available,openaq_location_ids_found,weeks_requested,backfill_readiness,public_note
Allerton Waste Recovery Park,allerton,candidate_overlay_needs_review,Leeds Centre - UKA00222,80,high_confidence_official_candidate,7,2523;1396;2301;6247129,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Beddington ERF,beddington,candidate_overlay_needs_review,Sutton - Beddington Lane north,87,high_confidence_official_candidate,8,225832;225845;225773;225850;225764;225792;223803,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Bolton WtE,bolton,candidate_overlay_needs_review,Glazebury - UKA00170,85,high_confidence_official_candidate,8,2431;718;2293;2444;2312,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Crossness Sludge Plant,crossness,candidate_overlay_needs_review,Bexley - Slade Green,95,high_confidence_official_candidate,8,157;225796;225705;147;225751;225714;225763,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
CSWDC Coventry,coventry,candidate_overlay_needs_review,Coventry Allesley - UKA00592,93,high_confidence_official_candidate,8,2494;2535;2534;2659918;2513,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Devonport Dockyard,devonport,candidate_overlay_needs_review,Plymouth Centre - UKA00360,98,high_confidence_official_candidate,6,2488;3528;2510,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Eastcroft EfW,eastcroft,candidate_overlay_needs_review,Nottingham Centre,100,high_confidence_official_candidate,7,938;2428;3523;2317,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Exeter ERF,exeter,candidate_overlay_needs_review,Exeter Roadside - UKA00263,81,high_confidence_official_candidate,7,2282;2436;2339;3336900,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Fawley Incinerator,fawley,candidate_overlay_needs_review,Southampton Centre - UKA00235,80,high_confidence_official_candidate,8,698;2365;226345;2526;225759,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Ferrybridge MF2,ferrybridgemf2,candidate_overlay_needs_review,Leeds Centre - UKA00222,80,high_confidence_official_candidate,8,2523;2323;1396;2659924;2544,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Glanford PS,glanfordps,candidate_overlay_needs_review,Scunthorpe Town - UKA00381,80,high_confidence_official_candidate,8,768;2509;2425;2659934;2659935,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Lakeside EfW,lakeside,candidate_overlay_needs_review,London Hillingdon - UKA00266,85,high_confidence_official_candidate,8,153;141;225843;155;225723;225771,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Leeds RERF,leeds,validated_existing_overlay,,,,0,,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
London EcoPark,londonecopark,validated_existing_overlay,,,,0,,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Marchwood ERF,marchwood,candidate_overlay_needs_review,Southampton Centre - UKA00235,95,high_confidence_official_candidate,8,698;2365;225759;226345;2526,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Newhaven ERF,newhaven,validated_existing_overlay,,,,0,,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Portsmouth ERF,portsmouth,candidate_overlay_needs_review,Portsmouth Background AURN,93,high_confidence_official_candidate,8,226345;2526;2659938;698,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Red Moss Landfill,redmosslandfill,candidate_overlay_needs_review,Manchester Piccadilly - UKA00248,87,high_confidence_official_candidate,8,2312;2286;718;2431,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Riverside RR ERF,riverside,validated_existing_overlay,,,,0,,12,metadata_ready,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
